UniprotID	index
Q9HCC0	1273
Q8IWL2	1274
P11678	1275
Q8N8N7	1276
P11926	1277
P06732	1278
P47898	1279
P06737	1280
Q03468	1281
P17787	1282
P16410	1283
P51654	1284
P24385	1285
Q00266	1286
P51659	1287
O60427	1288
Q9Y6Q6	1289
O95278	1290
Q9BZS1	1291
Q96KS0	1292
P04271	1293
P09601	1294
P02708	1295
P35869	1296
P28065	1297
P28062	1298
Q01959	1299
P14222	1300
P00966	1301
Q03518	1302
Q03519	1303
Q6IB77	1304
P10253	1305
O60513	1306
O60512	1307
P35916	1308
P12110	1309
O15270	1310
P08172	1311
P08173	1312
P32245	1313
P08174	1314
P00491	1315
P00492	1316
Q08345	1317
P27797	1318
P27487	1319
Q96Q40	1320
Q8IYQ7	1321
P00367	1322
P00813	1323
Q8IVS8	1324
P00387	1325
Q99624	1326
Q9H015	1327
Q02817	1328
P35462	1329
P20292	1330
P24752	1331
P43694	1332
O96017	1333
P41231	1334
P41235	1335
Q96RI1	1336
Q8NFA2	1337
Q9H306	1338
P14780	1339
Q8IWU4	1340
Q9NPD5	1341
P28845	1342
P52701	1343
O60294	1344
P26447	1345
P26440	1346
P15144	1347
Q7L3T8	1348
O95477	1349
Q13258	1350
Q9H3S4	1351
P61073	1352
P50281	1353
O43316	1354
P36969	1355
Q04828	1356
P48167	1357
Q13867	1358
P48169	1359
P16860	1360
P12081	1361
P30536	1362
P30531	1363
P30532	1364
Q96DP5	1365
O94788	1366
P49591	1367
O14896	1368
Q9NS23	1369
P30405	1370
P31751	1371
P31644	1372
P39905	1373
P39900	1374
Q9UBX3	1375
Q9NZ94	1376
P50135	1377
P12532	1378
Q9NR19	1379
P18825	1380
Q07973	1381
O95263	1382
O00253	1383
Q8WWT9	1384
Q9BW92	1385
Q12824	1386
Q86VB7	1387
P24298	1388
P29074	1389
P28074	1390
P17540	1391
Q9Y345	1392
O60568	1393
P28472	1394
P28476	1395
O60566	1396
O95865	1397
O95864	1398
O15269	1399
Q13936	1400
Q7RTV2	1401
O95881	1402
Q8NBN7	1403
P06276	1404
Q9H3N8	1405
P17948	1406
P21462	1407
O75844	1408
P05089	1409
Q14289	1410
P42338	1411
P42336	1412
P45452	1413
P42330	1414
P30988	1415
P00734	1416
Q14573	1417
O75936	1418
P43681	1419
Q13393	1420
O75715	1421
O75712	1422
O43272	1423
P32297	1424
P11309	1425
P27338	1426
Q02809	1427
O95467	1428
Q14624	1429
P16144	1430
P41595	1431
P41594	1432
Q13485	1433
P54710	1434
P22748	1435
P11274	1436
Q8WY07	1437
P30968	1438
P17302	1439
P12111	1440
P15291	1441
P22607	1442
P04818	1443
O15460	1444
P14770	1445
Q9NYV7	1446
Q16445	1447
Q9Y5N1	1448
Q9UJS0	1449
Q9Y2I1	1450
P20594	1451
P55157	1452
Q9BY41	1453
P49768	1454
P50440	1455
P21266	1456
O95644	1457
P62158	1458
Q16665	1459
Q9UNQ0	1460
P24462	1461
P35670	1462
Q04656	1463
O15431	1464
O15432	1465
P02795	1466
